name,governmentType,currency,population,area,continentName
Romania,Republic,Leu,19237691,238397,Europe
Portugal,Republic,Euro,10196709,92090,Europe
Alaska,Republic,US Dollar,731545,1717858,North America
France,Republic,Euro,67000000,551695,Europe
Germany,Federal Republic,Euro,83000000,357022,Europe
Italy,Republic,Euro,60360000,301340,Europe
Spain,Constitutional Monarchy,Euro,46730000,505990,Europe
United Kingdom,Constitutional Monarchy,Pound Sterling,67886011,242495,Europe
United States,Federal Republic,US Dollar,331002651,9372610,North America
Indonesia,Republic,Rupiah,273523615,1910931,Asia
India,Federal Parliamentary,Dollar,1380004385,3287263,Asia
Brazil,Federal Republic,Real,212559417,8515767,South America
